"set","setInf","locx","locy","time","genoID"
30,49,6.02193577566731,6.31965714285713,138,4191132118205627
30,50,6.02193577566731,6.31965714285713,138,7812368228468369
30,51,6.02193577566731,6.31965714285713,139,3308493823853243
5,10,5.42108626198161,3.65709192916844,139,3310692813033401
22,24,2.00289321409775,4.52562162162161,139,7814292440933051
30,52,6.02193577566731,6.31965714285713,140,7812093451191819
22,25,2.00289321409775,4.52562162162161,140,4471778081818267
15,41,3.14513658412059,2.08701639344265,141,3343815601342367
30,53,6.02193577566731,6.31965714285713,141,2607002821644987
22,26,2.00289321409775,4.52562162162161,141,8940162181810841
22,27,2.00289321409775,4.52562162162161,141,1056968485400218
15,42,3.14513658412059,2.08701639344265,142,4454313762810075
3,18,5.19927272727327,2.55909356313043,142,7814825016938139
3,19,5.19927272727327,2.55909356313043,142,4454313762810075
21,11,5.60182303245884,6.85478656968628,143,7779105652949915
21,12,5.60182303245884,6.85478656968628,143,3275645880534171
30,54,6.02193577566731,6.31965714285713,143,3873624513338811
30,55,6.02193577566731,6.31965714285713,143,3361271404872635
30,56,6.02193577566731,6.31965714285713,143,2765317866296735
22,28,2.00289321409775,4.52562162162161,143,3363744249595323
22,29,2.00289321409775,4.52562162162161,143,1094074955526075
26,2,3.33629032258034,6.1503819223425,143,3308460304549913
15,43,3.14513658412059,2.08701639344265,144,8975514183463451
15,44,3.14513658412059,2.08701639344265,144,1059440322964635
30,57,6.02193577566731,6.31965714285713,144,8781866582459001
22,30,2.00289321409775,4.52562162162161,144,3311240136672927
15,45,3.14513658412059,2.08701639344265,145,3135166073323675
3,20,5.19927272727327,2.55909356313043,145,3343678162393018
30,58,6.02193577566731,6.31965714285713,145,7847277654984603
15,46,3.14513658412059,2.08701639344265,146,3027018461272251
15,47,3.14513658412059,2.08701639344265,146,7812092880801499
3,21,5.19927272727327,2.55909356313043,146,3326085984740667
30,59,6.02193577566731,6.31965714285713,146,3891205760665755
22,31,2.00289321409775,4.52562162162161,146,3308476612538267
21,13,5.60182303245884,6.85478656968628,147,3343678967703227
21,14,5.60182303245884,6.85478656968628,147,3326085607249563
22,32,2.00289321409775,4.52562162162161,147,3871443676218651
22,33,2.00289321409775,4.52562162162161,147,3290901067383069
3,22,5.19927272727327,2.55909356313043,149,7812091253408699
3,23,5.19927272727327,2.55909356313043,149,8937976144642107
30,60,6.02193577566731,6.31965714285713,149,4452123120820923
26,3,3.33629032258034,6.1503819223425,149,8937976144642107
15,48,3.14513658412059,2.08701639344265,150,2464068491069115
3,24,5.19927272727327,2.55909356313043,150,8937993324515227
30,61,6.02193577566731,6.31965714285713,150,3311242283642849
30,62,6.02193577566731,6.31965714285713,150,4435078308196281
22,34,2.00289321409775,4.52562162162161,150,3343678161865755
22,35,2.00289321409775,4.52562162162161,151,3027017739980731
32,7,6.68026905829644,6.19239457831331,151,7849618177844923
8,5,3.66735471578293,7.21564889080905,151,4437142207776411
15,49,3.14513658412059,2.08701639344265,152,3064403282683579
3,25,5.19927272727327,2.55909356313043,152,3308494394279834
15,50,3.14513658412059,2.08701639344265,153,3308766235510456
3,26,5.19927272727327,2.55909356313043,153,3309047857597979
3,27,5.19927272727327,2.55909356313043,153,4471914530883355
22,36,2.00289321409775,4.52562162162161,153,2745534877845401
15,51,3.14513658412059,2.08701639344265,154,3328385914563131
3,28,5.19927272727327,2.55909356313043,154,2605630982243259
22,37,2.00289321409775,4.52562162162161,154,3343678162397883
15,52,3.14513658412059,2.08701639344265,155,7213956676244273
3,29,5.19927272727327,2.55909356313043,156,5560293587176987
30,63,6.02193577566731,6.31965714285713,156,4469560888845851
30,64,6.02193577566731,6.31965714285713,156,7515226150725531
5,11,5.42108626198161,3.65709192916844,156,7653901047452443
5,12,5.42108626198161,3.65709192916844,156,3310692812752571
5,13,5.42108626198161,3.65709192916844,156,7812640220693529
32,8,6.68026905829644,6.19239457831331,156,3345868226610875
22,38,2.00289321409775,4.52562162162161,157,812599543121051
22,39,2.00289321409775,4.52562162162161,157,5560293603984826
30,65,6.02193577566731,6.31965714285713,158,7674242151534203
22,40,2.00289321409775,4.52562162162161,158,3029181197503627
30,66,6.02193577566731,6.31965714285713,183,3344094790741915
3,30,5.19927272727327,2.55909356313043,184,4434394301121467
30,67,6.02193577566731,6.31965714285713,184,3308457014609585
8,6,3.66735471578293,7.21564889080905,184,5560274008261275
21,15,5.60182303245884,6.85478656968628,185,3310692813528731
30,68,6.02193577566731,6.31965714285713,185,2728090079618075
26,4,3.33629032258034,6.1503819223425,185,4207069668106907
21,16,5.60182303245884,6.85478656968628,186,7814807769370266
3,31,5.19927272727327,2.55909356313043,186,7831884626968891
30,69,6.02193577566731,6.31965714285713,186,3328388078813594
30,70,6.02193577566731,6.31965714285713,186,3345877185644186
15,53,3.14513658412059,2.08701639344265,187,3310690648780475
30,71,6.02193577566731,6.31965714285713,187,7831866960039673
22,41,2.00289321409775,4.52562162162161,187,3308766251763483
30,72,6.02193577566731,6.31965714285713,188,1056833563051995
5,14,5.42108626198161,3.65709192916844,188,7671355931152019
32,9,6.68026905829644,6.19239457831331,188,7849614033864891
30,73,6.02193577566731,6.31965714285713,189,3029217827987995
30,74,6.02193577566731,6.31965714285713,189,3361408609471611
30,75,6.02193577566731,6.31965714285713,189,4436558362233019
30,76,6.02193577566731,6.31965714285713,190,3345842825911867
30,77,6.02193577566731,6.31965714285713,190,7812351056823963
22,42,2.00289321409775,4.52562162162161,190,3310691874034841
3,32,5.19927272727327,2.55909356313043,191,3308457048329747
22,43,2.00289321409775,4.52562162162161,191,2044722916673305
15,54,3.14513658412059,2.08701639344265,192,4207899452034715
21,17,5.60182303245884,6.85478656968628,192,1058892666426779
30,78,6.02193577566731,6.31965714285713,192,2781283132171963
5,15,5.42108626198161,3.65709192916844,192,2167335525573513
3,33,5.19927272727327,2.55909356313043,193,3310692813563579
30,79,6.02193577566731,6.31965714285713,193,3062203185679512
5,16,5.42108626198161,3.65709192916844,193,3308493727385115
30,80,6.02193577566731,6.31965714285713,194,3308768668209051
30,81,6.02193577566731,6.31965714285713,194,3308493723200571
15,55,3.14513658412059,2.08701639344265,195,3361261740681823
3,34,5.19927272727327,2.55909356313043,195,2780693849231003
3,35,5.19927272727327,2.55909356313043,195,3064403150555835
30,82,6.02193577566731,6.31965714285713,195,3308494866138331
30,83,6.02193577566731,6.31965714285713,196,3291279560851674
22,44,2.00289321409775,4.52562162162161,197,7814290276797843
21,18,5.60182303245884,6.85478656968628,199,7812643156709051
30,84,6.02193577566731,6.31965714285713,199,3029217820033467
30,85,6.02193577566731,6.31965714285713,199,7812777930185867
